,1,2,3,4,5,6,7,8,9,10,11,12,Global
3bdbc3c0,-17.56990395737347,-19.99755543841569,-20.264807034370488,-21.00326879028521,-30.825870989660665,-16.956675093375345,-12.66735846353816,-2.5358632611326346,,,,,-0.6247143531814098
d50c10cd,-0.3961540754163039,0.3143748774977903,5.604941787793102,0.8302028046650395,-2.113138218806772,9.682959661165611,7.1608050998144535,5.443196001531964,5.244655568898935,4.802547410733541,3.2912060471483406,,4.487458412955922
98669526,-9.03028928413227,1.1941041919971547,-10.151419019337249,-8.402756896470306,-15.798322040850131,-17.3739295639891,,,,,,,-14.42135315674886
5c0347cc,,,,,,,,,,,,,-3.120582533727325
6133c0d7,,,,,,,,,,,,,-2.003760068267457
856618c2,-3.803424654391143,,,,,,,,,,,,-5.550092178772608
c47b9db1,-2.5113202225394993,-5.93596373763472,-4.7890386387375665,-10.75603284356908,-11.17929149222782,-9.33143533442138,0.5996132064725022,-5.474517668513115,,,,,-10.02853420869382
921f735d,-23.042768524408853,-15.274846944947406,-17.71602328603914,-16.397361717215773,-14.072033903310798,-16.45139111278239,-10.015956131304765,,,,,,-17.04576540299699
93560fbc,,,,,,,,,,,,,-4.384224647220949
5fbf807c,,,,,,,,,,,,,-8.452183456798926
9ddb66b4,-0.6305795273682232,-3.9394370438518145,2.274643137545894,,,,,,,,,,1.287364880402464
4bcf288b,,,,,,,,,,,,,-7.121023123767901
d64f73c2,-0.7030173282798626,,,,,,,,,,,,-0.7030173282798626
1bdff261,,,,,,,,,,,,,0.4074845195666529
90d29bb6,,,,,,,,,,,,,-7.229009866864467
5f3cc21b,-25.98200376775869,-4.4017102874605385,-24.541095509142554,-26.068649956974966,-30.08451696157554,-21.364305271875104,-23.81918375465182,-22.866470902488054,-24.28087275730951,-25.305828633796967,-21.56880024707847,,-21.48702226592866
5004c81c,4.03984504423781,2.256530788593206,,,,,,,,,,,2.256530788593206
9bf7ccb3,,,,,,,,,,,,,0.6461447902053494
2c1cbbbf,,,,,,,,,,,,,0.4534698057912087
b4264c50,10.762101697488637,3.339250303072724,-1.9964790997644757,-7.1471177864744835,,,,,,,,,-25.61695089397816
96609938,-5.045874104158753,-20.197209564955156,,,,,,,,,,,-9.405059854683802
1374c1f1,,,,,,,,,,,,,-1.21834459122536
